title,id,viewCount,likeCount,favoriteCount,commentCount
Starlink is FINALLY in Kenya: Everything you need to know!,_Wl7MzLoEAQ,16145,492,0,111
Twitter is NO LONGER a free app. Maybe try Threads?,prwQFzZplBY,417,24,0,10
Why I NO LONGER recommend the Amazon Firestick - 2 years later,NQvxLF7Rbrg,895,66,0,23
DO NOT USE SMS for two factor authentication / 2SV !!,PATURBIwjXo,730,47,0,10
DIY acoustic panels: sound treating my home YouTube studio,MSomu-MP6N0,598,48,0,14
eufy Robovac 30C Max: still the BEST BUDGET ROBOT VACUUM for 2023?,DCJRqMDvRzs,870,41,0,15
Emptying out my robot vacuum cleaner after several weeks 😬😳😨 (eufy Robovac),1HdVDbZATto,2288,22,0,2
So I've got into the IEM rabbit hole... // Linsoul TANGZU Wan’er S.G,uIx0oBHRG20,3720,191,0,40
Oraimo Ultracleaner H2 Portable Handheld Vacuum Cleaner unboxing & first impressions,NzgrAEr2f3w,1664,70,0,17
Top 10 PROBLEMS to expect on ALIEXPRESS in 2023,BrkdDlTO0iY,1580,87,0,51
"EDIFIER MR4 studio monitor speakers unboxing, overview & sound test",xgSg_o-FaeY,3077,105,0,20
This could SAVE your LIFE! // GauTone PG-107 WiFi 4G 3G Alarm System,nlUTERh-Vag,2347,98,0,21
DREAM desk build with this CHEAP Radlove dual motor frame!,iPLUInwv1Ro,2388,124,0,39
WATCH THIS before getting a PCIe Gen 4 SSD! // Silicon Power XS70,-NpWM6eRg-s,2217,66,0,29
USA to Kenya sea shipping by Kentex Cargo: my experience.,ABVsWdqaksg,2576,103,0,42
I bought the CHEAPEST RTX 3080 GPU on the internet!,iGapNpbt2m0,2045,76,0,68
How to DEEP CLEAN your white mechanical keyboard!,N4Btr7xOysk,522,28,0,2
The biggest File Explorer update EVER! (Windows 11 22H2) #shorts,3FqMB8-Z64I,332,26,0,0
HIDDEN android dialer feature!! #shorts,Xr9JeBA6GgU,966,34,0,4
Are oraimo bluetooth speakers any good?,BslZwOzCMJw,3795,112,0,28
2 GREATEST features in the NEW Windows 11 22H2!,84oSb8ccthc,988,54,0,13
How I plan my PC UPGRADE - FULL beginners guide after RTX 40 series release,boSmsh1r1yM,979,66,0,38
Best FREE Twitter apps on Android 2022 - compared,JWoU7t8Xvtw,2676,66,0,10
This link-in-bio tool is MUCH BETTER than LINKTREE! #shorts,jaMF1uBaqYg,542,45,0,4
You're getting RIPPED OFF buying gadgets locally in Kenya,T1o13r7kwfc,5338,277,0,55
Can't believe I got these!! // beyerdynamic DT 900 PRO X,H3n9WIXDVsg,2576,129,0,31
Upgrading our kitchen tech: Kenwood kHealthyfry HFP50,WrDkb2ZVsQI,4709,126,0,26
I still DONT pay for TV!? // Firestick 4k Max 1 Year Later,h5cfcCpDJNU,4361,224,0,74
8 Websites You'll Wonder How You've Been Living Without Knowing,gLFnbLKqD2M,1239,110,0,22
How To Avoid Getting Scammed Shopping Online in Kenya!!,woV6uFyRdzo,1487,103,0,31
"How to pay on Amazon, Ebay, Alibaba etc. using M-Pesa // M-Pesa Globalpay",ok-tZEiHpUg,8796,310,0,107
"How to setup a unique, minimalist Android homescreen (Palette app tutorial 2022)",jwZl0Jn0RRA,2327,68,0,10
Logitech G305 vs. MX Master for productivity.,lmoSOJYH7b8,1592,65,0,12
Announcement: I'm 'deleting' my videos.,qNpxb__WjtQ,1342,78,0,47
What's this WORDLE game that EVERYONE is playing?? // 11th May solution!,VYgkqeOvm3E,643,43,0,16
Ridge wallet vs. Ridge knock-off vs. minimalist pop-up wallet!,l7X7tdXhBcE,968,36,0,14
I should've bought this EARLIER! APC 1000va/600w UPS,b_taBvL5N6I,3910,99,0,34
Speedaf took 3 MONTHS to ship my package from AliExpress to Kenya! #shorts,pmssCHGGgjg,2791,71,0,38
My 2022 Youtube Studio Setup / Desk Setup #shorts,H0UYp0Zdxks,707,39,0,7
"Roadtrip: Nanyuki, Kenya! ft. Ol Pejeta Conservancy, Tafaria Castle",9zGlTqhwS88,2472,89,0,23
GREAT VALUE! I paid $17 for this impressive 2 bedroom Airbnb in Nakuru Kenya!,_Lslv3Xsz_8,1620,56,0,14
How to get FASTER Wi-Fi in every corner of your home! // TP-Link AV600 Powerline Kit,3lqBTGdK3iM,1568,73,0,15
How to buy & ship from Alibaba to KENYA (2022) - The ULTIMATE Guide,lvr_X2RERYE,38645,2020,0,401
Favourite Android Apps - Jan 2022!,YKpIzsyh0Pw,956,94,0,62
Happy New Year 2022! + Channel Update (New Studio!),4JRxNLVN08s,592,58,0,41
"Our simple, kinda minimalist living room tour!",BMMZYJicP8k,3133,195,0,41
CHEAP holiday gift ideas for techies! (Under $50!),UasSOE7kbIo,757,80,0,36
